year,Bangladesh,Brazil,Canada,China,Colombia,Ethiopia,France,Germany,India,Indonesia,Italy,Japan,Mexico,Nigeria,Pakistan,Philippines,Russia,South Africa,Spain,Thailand,Turkey,Ukraine,United Kingdom,United States,Vietnam
2000,3.8127,48.95297,418.69143,31.4685,30.27601,1.0023,177.21288,173.52073,13.24989,18.09673,131.20983,176.76228,63.85637,6.5166,12.11132,14.03023,177.75335,101.71578,135.50199,41.54362,46.84576,117.35023,164.51041,350.20416,9.29646
2001,4.10894,47.78927,408.71096,32.42302,29.73781,1.05021,180.06341,177.55294,13.52257,17.92218,131.58771,174.65113,62.48094,7.14817,11.47541,13.55056,175.66948,101.96284,140.16186,43.1606,42.1478,116.29153,166.41455,337.46887,10.13769
2002,4.27154,47.73233,412.3892,34.03191,29.14593,1.09283,177.77206,173.56524,13.13655,18.62417,131.77825,173.62533,61.9203,7.14294,11.31465,13.50826,183.21087,98.43929,140.02723,46.64891,45.08866,121.14064,163.52961,339.48746,11.09884
2003,4.56778,47.78749,422.39473,38.94003,29.80082,1.15904,178.46961,171.74422,13.35042,18.59623,135.50271,173.4673,62.23768,7.27798,11.71779,13.65549,189.40043,104.71121,145.02154,50.65562,46.78978,131.80163,163.69586,337.61021,11.88586
2004,4.7803,48.93927,428.67494,44.86047,29.71332,1.17919,180.38341,173.76352,14.26428,19.51169,137.77642,178.26983,61.66337,7.12071,11.8295,13.69743,195.45684,110.88106,147.52303,53.95965,48.75723,132.21251,163.86406,342.0731,13.29592
2005,5.00135,50.25623,427.41524,49.46962,30.57365,1.22348,180.44481,171.07679,14.96965,19.88731,137.69113,176.75567,63.17766,7.62323,12.63648,13.44385,194.62656,107.83603,149.20343,56.84951,51.04028,134.73626,162.26568,339.34309,14.27656
2006,5.3615,51.51575,420.6023,53.96891,31.22224,1.34605,179.69232,173.89027,15.91784,21.99918,136.23112,179.25046,64.60813,7.0691,13.83071,13.07043,193.99994,110.32818,147.85152,57.29125,54.79585,125.13695,159.58373,333.899,15.11683
2007,5.57017,53.22689,413.05156,57.12489,31.2915,1.41845,175.73944,168.12973,16.73585,23.63309,133.60194,178.12315,65.91626,6.6009,14.13994,12.52815,200.79186,112.14774,148.96904,58.93065,58.23588,135.64448,152.99081,336.34413,16.20391
2008,5.92145,52.68423,404.0949,59.98329,31.23595,1.62671,176.23363,172.15365,17.24824,23.46436,131.5385,171.17806,66.16222,6.97198,13.83014,12.77802,208.07238,118.30442,142.24144,54.62639,55.97952,134.58604,150.36,326.51774,18.59769
2009,6.32695,53.73497,389.0471,65.73054,30.57367,1.5594,166.54494,161.94287,18.71032,25.11488,121.61378,161.79497,62.55326,5.60051,13.80552,11.67083,188.46397,114.43677,131.89478,61.43488,55.25161,98.07637,140.97429,308.36043,18.96221
2010,6.42794,57.69613,383.49634,71.97437,30.95173,1.58963,169.76134,171.81236,19.36064,25.81658,126.11908,171.28318,64.84331,4.51894,13.88819,12.1693,208.55993,114.05031,134.24798,65.19501,57.68926,110.44659,143.11846,316.86657,20.52984